exp_num,env_num,item_num,x,y
2,12,1,-209,-67
2,12,2,184,-55
2,12,3,137,-174
2,12,4,173,-149
2,12,5,197,-120
2,12,6,106,-163
2,12,7,138,-130
2,12,8,153,-105
2,12,9,85,-139
2,12,10,48,-154
2,12,11,-5,-155
2,12,12,-35,-152
2,12,13,-6,-118
2,12,14,39,-113
2,12,15,85,-100
2,13,1,-139,-172
2,13,2,-156,-139
2,13,3,-162,-101
2,13,4,-109,-230
2,13,5,-84,-169
2,13,6,-67,-146
2,13,7,-36,-153
2,13,8,-37,-167
2,13,9,-18,-247
2,13,10,-54,-124
2,13,11,-30,-189
2,13,12,-29,-210
2,13,13,-17,-226
2,13,14,4,-218
2,13,15,16,-183
2,14,1,22,-8
2,14,2,45,-21
2,14,3,67,-42
2,14,4,93,-72
2,14,5,-47,57
2,14,6,-1,-24
2,14,7,-16,-46
2,14,8,-9,-62
2,14,9,16,-62
2,14,10,-57,-104
2,14,11,-68,-63
2,14,12,-82,-40
2,14,13,70,79
2,14,14,96,59
2,14,15,124,38
2,15,1,-121,-80
2,15,2,-104,-140
2,15,3,-137,-154
2,15,4,-153,-155
2,15,5,-182,-150
2,15,6,-140,-93
2,15,7,-198,-132
2,15,8,-150,-100
2,15,9,-208,-107
2,15,10,-205,-85
2,15,11,-191,-69
2,15,12,-176,-56
2,15,13,-152,-48
2,15,14,-134,-47
2,15,15,-116,-58
2,16,1,186,10
2,16,2,176,-20
2,16,3,156,-53
2,16,4,115,-66
2,16,5,89,-44
2,16,6,82,-20
2,16,7,53,20
2,16,8,47,-28
2,16,9,30,-66
2,16,10,-4,-58
2,16,11,-35,-47
2,16,12,-48,-9
2,16,13,-73,18
2,16,14,-72,-58
2,16,15,-109,-85
2,17,1,-74,235
2,17,2,20,223
2,17,3,103,196
2,17,4,150,120
2,17,5,224,106
2,17,6,-257,-47
2,17,7,-168,-179
2,17,8,-66,-232
2,17,9,-226,34
2,17,10,-137,-48
2,17,11,-51,-118
2,17,12,33,-184
2,17,13,-10,-23
2,17,14,-144,73
2,17,15,-113,135
2,18,1,-125,-132
2,18,2,-102,-112
2,18,3,-67,-96
2,18,4,-30,-100
2,18,5,24,-103
2,18,6,57,-100
2,18,7,124,-138
2,18,8,98,-119
2,18,9,130,-178
2,18,10,-58,-102
2,18,11,-48,-136
2,18,12,-4,-153
2,18,13,23,-152
2,18,14,56,-141
2,18,15,82,-139
2,19,1,13,-203
2,19,2,-4,-150
2,19,3,-14,-91
2,19,4,58,-75
2,19,5,-45,-28
2,19,6,-51,26
2,19,7,-6,62
2,19,8,169,-121
2,19,9,180,-88
2,19,10,125,-51
2,19,11,110,-126
2,19,12,89,-183
2,19,13,71,-138
2,19,14,73,-29
2,19,15,175,-34
2,20,1,-151,60
2,20,2,-63,75
2,20,3,13,33
2,20,4,49,-29
2,20,5,50,-79
2,20,6,-110,-114
2,20,7,-17,-68
2,20,8,-106,-78
2,20,9,-109,-28
2,20,10,-130,16
2,20,11,-99,42
2,20,12,-34,13
2,20,13,-18,-16
2,20,14,-56,-29
2,20,15,-83,2
2,21,1,-103,169
2,21,2,-122,119
2,21,3,-113,72
2,21,4,-90,33
2,21,5,-41,6
2,21,6,-10,29
2,21,7,-19,88
2,21,8,-4,142
2,21,9,40,133
2,21,10,35,75
2,21,11,47,22
2,21,12,62,20
2,21,13,74,142
2,21,14,83,84
2,21,15,104,100
2,22,1,51,-114
